,name,type,coords,freq
393,INLIM,FIX,N51.54.22.98 E001.19.12.90,000.000
394,INNUF,FIX,N59.07.05.41 W008.02.34.75,000.000
395,INPIP,FIX,N54.52.35.54 W002.53.46.10,000.000
396,INPUT,FIX,N55.18.18.30 E004.39.05.37,000.000
397,INREV,FIX,N55.08.57.44 W003.05.39.46,000.000
398,INRUB,FIX,N51.49.10.00 W003.51.41.00,000.000
399,INSUN,FIX,N50.23.43.38 W006.19.23.73,000.000
400,INVON,FIX,N55.27.02.19 W002.18.35.87,000.000
401,IPDOR,FIX,N55.22.39.00 W003.15.45.00,000.000
402,IPKUS,FIX,N51.31.52.43 E000.23.18.58,000.000
403,IPNOX,FIX,N54.13.40.00 W002.42.22.00,000.000
404,IPRIL,FIX,N51.40.28.81 W000.13.35.35,000.000
405,IPSAD,FIX,N55.21.45.00 W002.41.14.00,000.000
406,IPSET,FIX,N54.31.05.63 W005.27.08.92,000.000
407,IPSIR,FIX,N54.04.54.00 W001.56.57.00,000.000
408,IPZOL,FIX,N50.54.27.06 W003.13.40.21,000.000
409,IRKUM,FIX,N52.59.47.90 W005.22.39.45,000.000
410,IRKUN,FIX,N50.55.16.00 E001.28.00.00,000.000
411,ITJON,FIX,N51.28.31.81 W002.59.08.24,000.000
412,ITSUX,FIX,N56.02.59.94 E003.30.00.00,000.000
413,ITVIP,FIX,N51.17.13.75 E001.03.12.30,000.000
